idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,0.0,1.0,2.0,3.0,4.0,5.0
34737,2018-11-05 06:00:00,2018-11-05 06:15:00,2018-11-05 06:30:00,19,8,11,40,0,0.0,0.0,24.0,24.0,-47.0,-59.0,23.0,23.0,-47.0,-57.0,0.0,0.0,24.0,24.0,-48.0,-64.0,23.0,23.0,-48.0,-62.0,28.0,12.0,24.0,24.0,-62.0,-95.0,23.0,23.0,-61.0,-93.0,-69.5,24.0,-42,-85,0.0,1.0,0.0,0.0,0.0,0.0
155443,2019-06-05 18:00:00,2019-06-05 18:15:00,2019-06-05 18:30:00,19,2,23,28,1,0.0,0.0,,,,,21.0,21.0,-30.0,-33.0,2.0,0.0,,,,,21.0,,-30.0,-61.0,1.0,0.0,,,,,21.0,3.0,-30.0,-48.0,-85.0,23.0,-42,-86,0.0,0.0,0.0,0.0,0.0,1.0
6919,2018-06-05 15:00:00,2018-06-05 15:15:00,2018-06-05 15:30:00,19,2,23,14,1,0.0,0.0,23.0,23.0,-69.0,-71.0,21.0,20.0,-66.0,-68.0,8.0,0.0,23.0,23.0,-68.0,-97.0,23.0,20.0,-66.0,-88.0,0.0,0.0,23.0,23.0,-95.0,-100.0,23.0,23.0,-87.0,-100.0,-87.5,23.0,-41,-89,0.0,0.0,0.0,0.0,0.0,1.0
292092,2018-07-20 23:15:00,2018-07-20 23:30:00,2018-07-20 23:45:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-49.0,-53.0,18.0,18.0,-51.0,-54.0,10.0,0.0,22.0,18.0,-52.0,-97.0,22.0,18.0,-54.0,-94.0,17.0,0.0,22.0,18.0,-56.0,-97.0,22.0,18.0,-57.0,-94.0,-85.0,23.0,-51,-86,1.0,0.0,0.0,0.0,0.0,0.0
91424,2019-05-27 17:45:00,2019-05-27 18:00:00,2019-05-27 18:15:00,19,9,7,28,0,0.0,0.0,25.0,25.0,-53.0,-60.0,25.0,25.0,-56.0,-63.0,12.0,1.0,25.0,25.0,-53.0,-66.0,25.0,25.0,-56.0,-69.0,61.0,17.0,25.0,25.0,-51.0,-67.0,25.0,25.0,-53.0,-71.0,-68.5,24.0,-55,-87,0.0,0.0,0.0,1.0,0.0,0.0
4672,2018-06-07 14:00:00,2018-06-07 14:15:00,2018-06-07 14:30:00,19,3,23,28,1,42.0,0.0,22.0,22.0,-83.0,-93.0,22.0,22.0,-84.0,-96.0,349.0,4.0,22.0,22.0,-83.0,-87.0,22.0,22.0,-84.0,-87.0,787.0,7.0,22.0,22.0,-82.0,-85.0,22.0,22.0,-84.0,-85.0,-79.5,23.0,-44,-86,0.0,1.0,0.0,0.0,0.0,0.0
1423,2019-06-05 14:15:00,2019-06-05 14:30:00,2019-06-05 14:45:00,19,2,23,28,1,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,0.0,0.0,21.0,21.0,-33.0,-34.0,22.0,22.0,-35.0,-35.0,-85.0,23.0,-49,-86,0.0,0.0,0.0,0.0,0.0,1.0
563029,2018-10-29 12:30:00,2018-10-29 12:45:00,2018-10-29 13:00:00,19,3,38,56,1,0.0,0.0,16.0,16.0,-90.0,-94.0,16.0,16.0,-91.0,-94.0,35.0,3.0,16.0,12.0,-64.0,-95.0,16.0,13.0,-61.0,-94.0,7.0,0.0,16.0,12.0,-47.0,-95.0,16.0,12.0,-46.0,-94.0,-75.0,19.0,-39,-82,1.0,0.0,0.0,0.0,0.0,0.0
78101,2018-04-11 05:30:00,2018-04-11 05:45:00,2018-04-11 06:00:00,19,7,18,56,0,0.0,0.0,17.0,17.0,-73.0,-74.0,17.0,17.0,-77.0,-78.0,0.0,0.0,17.0,17.0,-73.0,-74.0,17.0,17.0,-77.0,-78.0,0.0,0.0,17.0,17.0,-74.0,-75.0,17.0,17.0,-77.0,-78.0,-71.0,19.0,-43,-84,0.0,1.0,0.0,0.0,0.0,0.0
14797,2019-02-02 13:30:00,2019-02-02 13:45:00,2019-02-02 14:00:00,19,9,18,56,0,0.0,0.0,17.0,17.0,-61.0,-65.0,17.0,17.0,-56.0,-59.0,23.0,0.0,17.0,17.0,-61.0,-69.0,17.0,17.0,-56.0,-64.0,40.0,0.0,17.0,17.0,-66.0,-84.0,17.0,17.0,-60.0,-80.0,-64.5,18.0,-47,-84,0.0,1.0,0.0,0.0,0.0,0.0
167203,2019-06-06 15:30:00,2019-06-06 15:45:00,2019-06-06 16:00:00,19,7,18,56,0,0.0,0.0,19.0,19.0,-46.0,-49.0,19.0,19.0,-45.0,-48.0,0.0,0.0,19.0,19.0,-47.0,-69.0,19.0,19.0,-46.0,-67.0,10.0,2.0,19.0,19.0,-48.0,-86.0,19.0,19.0,-46.0,-84.0,-71.0,19.0,-42,-84,1.0,0.0,0.0,0.0,0.0,0.0
