,idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
1265,4713,2019-05-29 17:45:00,2019-05-29 18:00:00,2019-05-29 18:15:00,19,2,18,28,1,121.0,27.0,23.0,23.0,-85.0,-96.0,23.0,23.0,-82.0,-86.0,283.0,41.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-87.0,357.0,78.0,23.0,23.0,-85.0,-96.0,23.0,23.0,-83.0,-88.0,-85.0,23.0,-45,-86,1.0
1270,4713,2019-05-29 19:00:00,2019-05-29 19:15:00,2019-05-29 19:30:00,19,2,18,28,1,231.0,26.0,23.0,23.0,-88.0,-96.0,23.0,23.0,-82.0,-86.0,251.0,19.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-85.0,239.0,32.0,23.0,23.0,-87.0,-96.0,23.0,23.0,-83.0,-86.0,-85.0,23.0,-45,-86,1.0
1269,4713,2019-05-29 18:45:00,2019-05-29 19:00:00,2019-05-29 19:15:00,19,2,18,28,1,121.0,38.0,23.0,23.0,-88.0,-96.0,23.0,23.0,-83.0,-87.0,231.0,26.0,23.0,23.0,-88.0,-96.0,23.0,23.0,-82.0,-86.0,251.0,19.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-85.0,-85.0,23.0,-45,-86,1.0
1954,4713,2019-05-27 09:30:00,2019-05-27 09:45:00,2019-05-27 10:00:00,19,2,18,28,1,356.0,186.0,23.0,,-65.0,-97.0,23.0,19.0,-60.0,-93.0,362.0,201.0,23.0,19.0,-66.0,-97.0,23.0,19.0,-64.0,-93.0,272.0,154.0,23.0,19.0,-65.0,-97.0,23.0,19.0,-59.0,-93.0,-85.0,23.0,-45,-86,1.0
1258,4713,2019-05-26 01:00:00,2019-05-26 01:15:00,2019-05-26 01:30:00,19,2,18,28,1,51.0,13.0,23.0,23.0,-85.0,-96.0,23.0,23.0,-82.0,-89.0,205.0,53.0,23.0,23.0,-84.0,-95.0,23.0,23.0,-81.0,-90.0,364.0,59.0,23.0,23.0,-86.0,-95.0,23.0,23.0,-83.0,-88.0,-85.0,23.0,-45,-86,1.0
1272,4713,2019-05-29 19:30:00,2019-05-29 19:45:00,2019-05-29 20:00:00,19,2,18,28,1,239.0,32.0,23.0,23.0,-87.0,-96.0,23.0,23.0,-83.0,-86.0,198.0,18.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-86.0,169.0,20.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-85.0,-85.0,23.0,-45,-86,1.0
1263,4713,2019-05-29 17:15:00,2019-05-29 17:30:00,2019-05-29 17:45:00,19,2,18,28,1,36.0,8.0,23.0,23.0,-84.0,-95.0,23.0,23.0,-81.0,-92.0,160.0,59.0,23.0,23.0,-77.0,-96.0,23.0,23.0,-76.0,-91.0,121.0,27.0,23.0,23.0,-85.0,-96.0,23.0,23.0,-82.0,-86.0,-85.0,23.0,-45,-86,1.0
1264,4713,2019-05-29 17:30:00,2019-05-29 17:45:00,2019-05-29 18:00:00,19,2,18,28,1,160.0,59.0,23.0,23.0,-77.0,-96.0,23.0,23.0,-76.0,-91.0,121.0,27.0,23.0,23.0,-85.0,-96.0,23.0,23.0,-82.0,-86.0,283.0,41.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-87.0,-85.0,23.0,-45,-86,1.0
1259,4713,2019-05-27 16:00:00,2019-05-27 16:15:00,2019-05-27 16:30:00,19,2,18,28,1,45.0,19.0,23.0,19.0,-61.0,-96.0,23.0,19.0,-55.0,-90.0,15.0,8.0,23.0,19.0,-57.0,-94.0,23.0,19.0,-53.0,-88.0,80.0,32.0,23.0,19.0,-64.0,-97.0,23.0,19.0,-58.0,-91.0,-85.0,23.0,-45,-86,1.0
1266,4713,2019-05-29 18:00:00,2019-05-29 18:15:00,2019-05-29 18:30:00,19,2,18,28,1,283.0,41.0,23.0,23.0,-86.0,-96.0,23.0,23.0,-82.0,-87.0,357.0,78.0,23.0,23.0,-85.0,-96.0,23.0,23.0,-83.0,-88.0,260.0,44.0,23.0,23.0,-81.0,-96.0,23.0,23.0,-79.0,-88.0,-85.0,23.0,-45,-86,1.0
